email,timestamp,emotion,confidence,model_type,session_id
goku,2025-04-26 13:40:52,neutral,0.7072650194168091,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:53,neutral,0.59681636095047,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:53,angry,0.7697122693061829,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:53,angry,0.8717630505561829,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:53,angry,0.680141270160675,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:53,angry,0.680141270160675,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:53,neutral,0.8171176910400391,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:53,neutral,0.7070344686508179,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:53,angry,0.6994094252586365,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:53,neutral,0.5866369009017944,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:53,angry,0.7113586068153381,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:53,angry,0.7113586068153381,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:53,angry,0.7315955758094788,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:53,neutral,0.5591644048690796,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:54,angry,0.6310210227966309,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:54,angry,0.4699423909187317,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:54,angry,0.4699423909187317,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:54,angry,0.7682814002037048,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:54,angry,0.7682814002037048,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:55,happy,0.7848033905029297,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:55,happy,0.7353221774101257,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:55,happy,0.7353221774101257,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:55,angry,0.770331621170044,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:55,angry,0.770331621170044,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:55,angry,0.9466436505317688,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:55,angry,0.9937482476234436,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:55,angry,0.8390485644340515,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:55,angry,0.8414115905761719,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:55,angry,0.7648721933364868,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:55,angry,0.7648721933364868,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:55,angry,0.8848100900650024,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:55,angry,0.8103999495506287,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
